"filename", "language", "JSON", "Ignore", "Shell Script", "Markdown", "TypeScript", "YAML", "Docker", "Ruby", "JavaScript", "HTML", "CSS", "erb", "TypeScript JSX", "comment", "blank", "total"
"/home/leong/Desktop/Projects/gossip/app/frontend/components/post/CreatePost.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 10, 79
"/home/leong/Desktop/Projects/gossip/app/frontend/components/post/EditPost.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 8, 81
"/home/leong/Desktop/Projects/gossip/app/frontend/components/post/PostContent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 119, 2, 14, 135
"/home/leong/Desktop/Projects/gossip/app/frontend/components/post/PostPreview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 5, 57
"/home/leong/Desktop/Projects/gossip/app/frontend/components/reply/CreateReply.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 8, 69
"/home/leong/Desktop/Projects/gossip/app/frontend/components/reply/EditReply.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 1, 9, 72
"/home/leong/Desktop/Projects/gossip/app/frontend/components/reply/ReplyContent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 134, 2, 21, 157
"/home/leong/Desktop/Projects/gossip/app/frontend/components/toolbars/CategoryBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 6, 49
"/home/leong/Desktop/Projects/gossip/app/frontend/components/toolbars/SearchBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 139, 1, 11, 151
"/home/leong/Desktop/Projects/gossip/app/frontend/components/types.d.ts", "TypeScript", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 53
"/home/leong/Desktop/Projects/gossip/app/frontend/entrypoints/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 2, 10
"/home/leong/Desktop/Projects/gossip/app/frontend/helpers/time_ago.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 35
"/home/leong/Desktop/Projects/gossip/app/frontend/hooks/useCookieState.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 25
"/home/leong/Desktop/Projects/gossip/app/frontend/hooks/useStorageState.ts", "TypeScript", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 33
"/home/leong/Desktop/Projects/gossip/app/frontend/styles/App.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 4, 2, 19
